Channel ID,Channel URL,Channel title
UCVtWVX2xirq6Nybf5bumqwg,https://www.youtube.com/channel/UCVtWVX2xirq6Nybf5bumqwg,Foolish Fish
UCY00j4LnwA5b3qW6q3umBTA,https://www.youtube.com/channel/UCY00j4LnwA5b3qW6q3umBTA,Mr. WWC Tamil
UCHG6AY0umY1sYRWXkHpU3-w,https://www.youtube.com/channel/UCHG6AY0umY1sYRWXkHpU3-w,Lauren Dalton
UCWcemHtTSe31FbFa3yvvkoQ,https://www.youtube.com/channel/UCWcemHtTSe31FbFa3yvvkoQ,TactiGamer
UCY_O-XvnMTGeWnGTsEgqOOg,https://www.youtube.com/channel/UCY_O-XvnMTGeWnGTsEgqOOg,Jon Zherka
UCYeiozh-4QwuC1sjgCmB92w,https://www.youtube.com/channel/UCYeiozh-4QwuC1sjgCmB92w,DevOps Toolbox
UC_H6Uy8bOvEBj83ppsBxeYA,https://www.youtube.com/channel/UC_H6Uy8bOvEBj83ppsBxeYA,ZHERSKI
UCY1L1GiRMe6MuHxgjjaV7Jg,https://www.youtube.com/channel/UCY1L1GiRMe6MuHxgjjaV7Jg,Zherkascension
UCWS9XWOTDffaFNeDBvqHCPw,https://www.youtube.com/channel/UCWS9XWOTDffaFNeDBvqHCPw,ZherkaTahpia
UC_N0depW33CoX_Ah8HaFcsg,https://www.youtube.com/channel/UC_N0depW33CoX_Ah8HaFcsg,Late Night with Jon Zherka
UC_og-h2OBDBAj7xYIOL0kHA,https://www.youtube.com/channel/UC_og-h2OBDBAj7xYIOL0kHA,(Bit-Mage)
UCY1kMZp36IQSyNx_9h4mpCg,https://www.youtube.com/channel/UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober
UCaGUoko2WvhZlJRoZnoE_3Q,https://www.youtube.com/channel/UCaGUoko2WvhZlJRoZnoE_3Q,Om Narayan Singh
UCRHXUZ0BxbkU2MYZgsuFgkQ,https://www.youtube.com/channel/UCRHXUZ0BxbkU2MYZgsuFgkQ,The Spiffing Brit
UCaqgoG_VCMhjccHPUIPpXfQ,https://www.youtube.com/channel/UCaqgoG_VCMhjccHPUIPpXfQ,A2D Bytes
UC_aEa8K-EOJ3D6gOs7HcyNg,https://www.youtube.com/channel/UC_aEa8K-EOJ3D6gOs7HcyNg,NoCopyrightSounds
